Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	1.1542317867279053	18.500225	16.669497	111.7164	6.185877	21.911112	18.614885	0.0	18.614885	18.614885	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.9229674	8.584542	54.7572	-2.9739757	10.890702	10.967689	65.49901	-3.6530356	-0.17117298	0.15871379	0.35890806	-0.78302085	-11.061874	10.937921	3.6590083	-65.58105	11.143027	10.855234	65.58105	0.001996419	-0.6535874	0.38849217	0.3659008	-1.0541724	242.00317	484.3115	4300.874	3.985688e-06	10.330026	11.472336	65.66319	3.985688e-07
1	1999	2.248894691467285	17.70907	14.165849	67.205025	3.9594252	21.891304	18.614885	0.0	18.614885	18.614885	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.980376	13.924371	73.40446	-1.2877609	14.31858	17.26542	93.46168	-1.655809	-0.17513645	0.161145	0.30022225	-1.048798	-14.493717	17.246443	1.5375314	-93.563065	14.517917	17.226076	93.563065	0.0032469889	-0.68120855	0.37151656	0.15375313	-1.0494194	507.50754	1251.9797	8754.047	1.0542937e-05	13.735704	17.790964	93.664566	1.0542936e-06
2	2999	3.3348937034606934	17.825142	22.95943	140.58832	5.134584	20.375	18.496222	0.0	18.496222	18.496222	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.706036	20.048632	117.893524	-1.9129932	13.923526	23.04387	136.90411	-3.2338507	-0.17438914	0.15354858	0.2770531	-0.7811843	-14.097916	23.037004	3.1960669	-136.99191	14.175738	22.989199	136.99191	0.0006904358	-0.63593954	0.392259	0.3196067	-1.0625186	729.4548	2642.49	18766.783	4.7670162e-07	13.347722	23.429697	137.07977	4.767016e-08
3	3999	4.4455037117004395	15.418226	9.422609	55.177822	5.3764033	20.67347	18.67411	0.0	18.67411	18.67411	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8417706	5.5922256	30.022627	-3.6175773	8.221131	7.5110574	40.066906	-3.0645792	-0.18422659	0.158672	0.22201562	-0.9466177	-8.405358	7.470542	3.0040977	-40.025608	8.510553	7.3504796	40.025608	0.0022275478	-0.6069442	0.3895409	0.3004098	-1.0506525	126.459045	200.62639	1602.0493	4.9619694e-06	7.5528536	8.004586	39.984352	4.9619695e-07
4	4999	5.556928396224976	19.112518	15.365239	93.06457	6.7504177	22.533333	18.299694	0.0	18.299694	18.299694	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.320391	7.680381	41.48798	-1.218656	10.025023	10.467847	59.28701	-2.9636059	-0.17027193	0.1575842	0.3622594	-0.77662945	-10.195295	10.438525	2.7686732	-59.40699	10.256394	10.378499	59.40699	0.004873109	-0.62957066	0.38217556	0.27686733	-1.0462736	212.90688	437.1938	3529.1907	2.374719e-05	9.344755	11.000044	59.527214	2.374719e-06
5	5999	12.336180925369263	30.022837	33.289143	150.27957	1.9188648	28.852942	102.45268	0.0	102.45268	102.45268	74.0	5.9828773	2.9621143	20.85548	-0.8059955	1.6051836	-1.9581977	0.5057291	14.221228	-5.862702	-7.778297	0.86205703	0.07476126	0.99970007	0.74108946	-0.44563863	0.7433089	0.5681231	11.540987	1.4018267e-05	35.625618	27.044994	100.60268	-6.488511	43.612053	32.408016	124.03783	-2.4181602	13.476559	3.7072976	25.04428	2.6194475	-30.1355	32.878353	18.136553	-111.907875	33.83666	29.055374	111.907875	0.068974294	-0.31704432	0.6656503	1.8136554	-0.907614	1989.1344	2735.2178	12523.373	0.004757453	27.2095	26.039373	100.96414	0.00027122904
6	6999	19.07631492614746	61.58015	18.766943	101.03512	9.193595	39.36	50.21732	0.0	50.21732	50.21732	29.0	14.729221	5.23653	35.352844	-4.2001195	4.329252	-1.3532321	1.1798091	4.048672	-8.170956	-16.579973	0.6509935	0.048568603	0.7408836	0.5724028	-1.0003607	0.8252071	0.59878147	4.707143	2.3245811e-06	43.868908	27.084923	128.976	1.9897999	50.77808	31.672462	152.4737	1.9897999	27.632566	3.0537674	36.465645	20.692934	-23.145515	33.158646	32.452522	-129.92857	31.254446	25.658728	129.92857	0.06671654	-0.032693498	0.9272473	3.2452524	-0.8521376	1635.2108	2614.8982	16881.434	0.0044510965	24.447994	23.515009	110.71702	0.00015641167
7	7999	25.87177610397339	127.34628	56.146027	194.82716	47.138634	63.9375	180.57657	0.0	180.57657	180.57657	90.0	24.33052	7.674579	48.68398	-7.6939597	10.052825	-0.6084192	1.5827353	6.8017607	-10.631502	-26.506363	0.51263726	0.03197031	0.57226247	0.46043578	-1.0647938	0.9215713	0.63182557	4.46095	1.7881393e-06	98.41012	50.201427	186.9915	2.3333964	111.610794	57.130264	212.38713	2.3333964	34.573734	4.3745255	46.919876	22.198013	-77.037056	54.200966	30.745573	-180.0201	80.01081	49.706364	180.0201	0.16575511	-0.46325788	0.6438139	3.0745573	-0.8476036	8872.453	8383.649	32407.236	0.027474755	60.08839	40.740368	152.5857	0.00093607476
8	8999	32.66100740432739	188.7951	6.348724	198.71378	180.9133	93.3	180.4402	0.0	180.4402	180.4402	88.0	34.11171	9.321272	58.90646	-7.6365137	16.596066	0.0083961375	1.8528374	7.955642	-10.268819	-36.656265	0.4196836	0.021660745	0.46033973	0.38529125	-0.8524899	1.0048332	0.66003805	4.507505	2.8282404e-05	99.34152	49.46356	181.01562	2.2837427	110.235695	54.391064	197.61565	2.2837427	43.06068	6.324711	59.50015	28.708178	-67.17502	49.318245	35.639866	-152.78722	71.76049	42.369846	152.78722	0.008644756	-0.3466891	0.7670031	3.5639865	-0.7731535	6944.772	6238.1357	23343.936	7.4731804e-05	50.432716	32.018597	127.02	1.8159193e-06
9	9999	39.41679573059082	195.8327	16.830015	229.24197	178.20044	94.36364	193.29877	0.0	193.29877	193.29877	94.0	43.716095	10.498805	68.397736	-10.890511	22.756403	0.37387928	2.014614	8.381997	-10.755874	-46.45939	0.35597885	0.016521305	0.38524348	0.32894364	-0.64364386	1.0509009	0.6842383	4.210291	6.377697e-06	103.925476	51.970963	191.97125	2.48272	114.41209	56.961346	205.66946	2.48272	50.153076	7.6860437	69.00871	32.328575	-64.25901	50.456562	40.730167	-149.26366	70.30552	41.619946	149.26366	0.04222341	-0.2621905	0.8833847	4.0730166	-0.72817475	6675.0854	6013.7866	22279.64	0.0017828164	48.58907	32.707485	165.89465	4.498424e-05
