Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	1.9686625003814697	-227.15741	0.0	-227.15741	-227.15741	1000.0	-237.89566	0.0	-237.89566	-237.89566	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-36.06013	10.7158985	-6.4341974	-56.29711	-354.07135	15.109095	-316.9343	-387.63132	-3.0813024	1.394446	-0.17909434	-9.906561	350.99002	15.315195	384.91183	313.56998	350.99002	15.315195	384.91183	313.56998	0.9912643	0.004024215	0.9995127	0.9730806	123428.57	10758.737	148157.11	98326.13	347.94125	15.633839	383.85742	306.8331
1	1999	3.8302083015441895	-246.86383	0.0	-246.86383	-246.86383	1000.0	-237.89566	0.0	-237.89566	-237.89566	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-35.207573	8.129955	-18.190035	-53.24765	-356.49698	20.24192	-310.01465	-402.43045	-3.0670834	1.3882159	-0.18677148	-8.3077755	353.42987	20.317785	400.39816	307.32797	353.42987	20.317785	400.39816	307.32797	0.9913652	0.0039627133	0.9995022	0.9764283	125325.49	14472.27	160318.69	94450.484	350.39478	20.481354	398.67728	302.85226
2	2999	5.687336683273315	-254.69455	0.0	-254.69455	-254.69455	1000.0	-239.47734	0.0	-239.47734	-239.47734	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-40.88692	10.129206	-15.5717535	-61.12707	-367.38828	12.584964	-335.0788	-397.45944	-3.0978227	1.4063325	-0.03356748	-8.348244	364.29047	12.721116	396.02264	330.31097	364.29047	12.721116	396.02264	330.31097	0.9915527	0.0038493327	0.99990183	0.97772574	132869.38	9260.284	156833.94	109105.336	361.2242	13.001265	394.59103	325.40695
3	3999	7.521878719329834	-412.37357	0.0	-412.37357	-412.37357	1000.0	-249.45952	0.0	-249.45952	-249.45952	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-35.075832	8.855875	-16.083408	-52.270016	-362.56577	14.025995	-319.4369	-396.88504	-3.1032734	1.421824	-0.18207555	-9.654627	359.46243	14.132334	393.56668	313.03415	359.46243	14.132334	393.56668	313.03415	0.99142367	0.0039704796	0.9995023	0.97264713	129412.984	10082.538	154894.75	97990.37	356.39142	14.371084	390.95956	306.31573
4	4999	9.38974642753601	-172.92632	0.0	-172.92632	-172.92632	1000.0	-217.39212	0.0	-217.39212	-217.39212	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-38.714844	7.9146504	-18.609528	-53.632824	-352.89578	18.653275	-302.10846	-392.639	-3.0526264	1.3768743	-0.18852052	-10.67077	349.84314	18.686537	391.54535	298.23157	349.84314	18.686537	391.54535	298.23157	0.9913279	0.003930507	0.99945486	0.9718582	122739.42	13088.754	153307.77	88942.07	346.8224	18.815445	390.45474	294.40445
5	5999	16.12224817276001	-296.5965	0.0	-296.5965	-296.5965	1000.0	-0.6034931	0.0	-0.6034931	-0.6034931	1000.0	1.69873	3.7057264	12.688125	-17.45257	9.057818	-2.932642	2.9504526	47.161343	-10.191673	-4.2281013	0.87144333	0.08304644	1.0083425	0.7372522	-0.9484101	0.80029136	0.80403805	29.970371	4.0233135e-06	-28.536518	25.295614	18.833868	-79.8096	45.486008	25.096243	93.084694	-6.1296287	6.5622025	1.6953791	12.933299	1.8545604	-38.92381	24.95907	15.506129	-88.12889	39.4313	24.149334	88.12889	0.10582067	-0.7301754	0.3464327	1.5506129	-0.9618995	2138.018	1937.4761	7766.701	0.011198014	34.496704	22.940783	84.77113	0.0011198014
6	6999	22.806737184524536	-213.29694	0.0	-213.29694	-213.29694	1000.0	-3.9603093	0.0	-3.9603093	-3.9603093	1000.0	10.054869	2.9146144	23.762234	1.3451333	5.6215315	-3.7739236	0.85986334	2.8440695	-9.726242	-12.648689	0.63395226	0.056203853	0.73702	0.54201996	-3.1114237	0.73394245	0.5685196	5.742327	1.2591481e-06	-26.97727	14.6670885	7.555954	-56.94784	48.344128	14.277513	80.03572	15.119938	13.027572	1.7629849	19.453964	7.323944	-35.31656	14.14905	-0.7023886	-70.36884	35.31656	14.14905	70.36884	0.7023886	-0.7014283	0.12019583	-0.043808244	-0.8828514	1447.455	1040.0834	4951.774	0.4933497	26.232796	12.8019085	62.125233	0.030770412
7	7999	29.457059621810913	-277.21713	0.0	-277.21713	-277.21713	1000.0	-2.0537157	0.0	-2.0537157	-2.0537157	1000.0	15.881259	2.7466729	27.201895	7.476397	2.621568	-3.778833	0.88732255	2.5961585	-9.765306	-17.868921	0.4675403	0.040787138	0.54185504	0.4006152	-5.17681	0.7581346	0.5835154	4.753293	2.8014183e-06	-22.011257	18.665228	16.001406	-53.382988	51.51305	18.001476	88.23711	19.896784	17.673855	1.429427	22.294235	13.305416	-33.839195	17.582394	-2.7602766	-69.35416	33.839195	17.582394	69.35416	2.7602766	-0.61427236	0.13304801	-0.13457912	-0.8187476	1454.2317	1336.1456	4809.9985	7.6191263	22.965849	15.174281	56.137623	0.37147558
8	8999	36.048702239990234	-274.60635	0.0	-274.60635	-274.60635	1000.0	-3.240119	0.0	-3.240119	-3.240119	1000.0	19.904572	2.511008	29.587547	12.332974	1.6381695	-3.7278066	0.9724692	3.5889971	-9.601389	-21.384096	0.34602654	0.029893853	0.40049434	0.2970552	-7.158901	0.78167284	0.5987761	5.720393	5.1409006e-06	-24.833515	17.721884	3.6134636	-66.86288	47.10085	18.702312	77.58482	3.1611874	20.317362	1.622926	27.783648	15.334586	-26.783485	18.377735	18.133987	-57.70692	28.661068	15.28527	57.70692	9.649067e-05	-0.4136278	0.48301113	1.8133987	-0.7623404	1055.0963	883.45245	3330.0889	9.310449e-09	18.48692	11.505789	43.146587	4.498397e-10
9	9999	42.69788384437561	-165.64996	0.0	-165.64996	-165.64996	1000.0	-10.251021	0.0	-10.251021	-10.251021	1000.0	22.005894	2.3433414	31.885246	14.085725	1.4703118	-3.4233212	1.2836366	3.724296	-10.107545	-23.176573	0.25753888	0.0215795	0.29696792	0.22219938	-8.723273	0.81292605	0.618794	5.456366	1.4062971e-06	-15.538436	8.972074	2.6224477	-39.31438	50.875916	11.364599	72.79357	27.814964	22.56086	2.1518097	29.978859	17.107584	-28.315056	12.154804	-3.4913342	-52.2498	28.315056	12.154804	52.2498	3.4913342	-0.5278029	0.14145029	-0.123966366	-0.7201137	949.48157	661.86224	2730.0417	12.189414	16.594975	9.457231	37.6258	0.432808
