Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	2.1212985515594482	-227.15741	0.0	-227.15741	-227.15741	1000.0	-242.17836	0.0	-242.17836	-242.17836	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-37.00047	8.482614	-9.236753	-62.235703	-360.8759	14.854883	-325.08313	-398.3246	-3.1458533	1.4062537	-0.19326895	-8.528667	357.73007	14.92141	396.3907	319.18454	357.73007	14.92141	396.3907	319.18454	0.99126816	0.003938801	0.9994175	0.9747007	128193.43	10716.478	157125.58	101878.77	354.61716	15.111761	394.46622	313.393
1	1999	4.098423957824707	-246.86383	0.0	-246.86383	-246.86383	1000.0	-242.17836	0.0	-242.17836	-242.17836	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-31.878195	6.628822	-16.042097	-45.966225	-353.60815	16.965298	-308.18787	-393.8018	-3.08002	1.398862	-0.17298383	-8.126456	350.5281	16.989471	391.86615	303.9097	350.5281	16.989471	391.86615	303.9097	0.9912743	0.0039803814	0.9995074	0.9771645	123158.6	11923.894	153559.08	92361.12	347.4805	17.122824	389.94003	299.69095
2	2999	6.205595016479492	-254.69455	0.0	-254.69455	-254.69455	1000.0	-244.49341	0.0	-244.49341	-244.49341	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-41.340054	6.3681493	-28.473352	-54.771103	-368.76953	15.269275	-342.67535	-420.87726	-3.081748	1.4103742	-0.033567496	-9.377508	365.68777	15.328096	418.21417	339.9423	365.68777	15.328096	418.21417	339.9423	0.99162984	0.0038457105	0.99990445	0.97504705	133962.48	11502.845	174903.1	115560.76	362.6372	15.509302	415.6449	334.06372
3	3999	8.201842784881592	-412.37357	0.0	-412.37357	-412.37357	1000.0	-245.0615	0.0	-245.0615	-245.0615	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-37.849667	5.2038193	-21.585684	-51.01006	-367.58698	13.649624	-335.95837	-407.33792	-3.110916	1.3585835	-0.18207555	-7.96735	364.47607	13.754317	406.59744	331.2399	364.47607	13.754317	406.59744	331.2399	0.99152136	0.0037296917	0.99949414	0.9781393	133031.98	10084.442	165321.48	109719.87	361.39658	13.983852	405.85834	326.23706
4	4999	10.200318098068237	-172.92632	0.0	-172.92632	-172.92632	1000.0	-232.00613	0.0	-232.00613	-232.00613	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-38.59133	8.399104	-22.108324	-65.24907	-349.17065	21.290995	-300.18878	-398.12332	-3.0519402	1.3616275	-0.18852052	-8.686581	346.11868	21.215471	394.83084	295.69815	346.11868	21.215471	394.83084	295.69815	0.9912479	0.0039050598	0.9994665	0.9738443	120248.25	14686.8	155891.4	87437.4	343.09872	21.22402	391.90274	291.27472
5	5999	17.259135723114014	-265.74286	0.0	-265.74286	-265.74286	1000.0	-1.8907423	0.0	-1.8907423	-1.8907423	1000.0	17.895456	16.710918	79.19133	-20.819729	70.29084	-2.820998	2.9669113	47.161343	-11.214642	-20.536196	0.8719239	0.082485095	1.0083425	0.7397936	-0.91696644	0.8147779	0.8094683	29.970371	3.799796e-07	-23.979242	16.563541	11.078378	-51.79932	39.12076	16.210197	73.59742	9.813623	40.102318	8.619056	74.22696	13.50346	0.981556	18.157099	54.024628	-45.813953	15.42045	9.636047	54.024628	0.02442446	0.2598902	0.7051454	4.2556286	-0.7160454	330.64368	367.30444	2918.6604	0.00059655425	11.782577	19.44628	205.4139	1.3821364e-05
6	6999	24.19422745704651	-244.69585	0.0	-244.69585	-244.69585	1000.0	-1226.2931	0.0	-1226.2931	-1226.2931	1000.0	72.69603	32.964687	315.97534	12.2278	167.76443	-1.8897935	2.489585	19.522577	-13.127864	-77.0502	0.64937985	0.047075137	0.7395713	0.5766499	-2.0630014	0.9265007	0.6895046	6.007894	7.748604e-07	-47.842575	25.027348	-4.4195743	-96.11027	-122.237915	23.593033	-70.61468	-172.8928	174.90001	65.86985	336.9876	74.57721	297.1379	71.43418	463.44577	184.97408	297.1379	71.43418	463.44577	184.97408	2.4698024	0.5534108	3.9826083	1.5808083	93393.8	46345.414	214782.0	34215.41	761.7848	355.25534	1698.443	320.87192
7	7999	31.105077028274536	-404.14346	0.0	-404.14346	-404.14346	1000.0	-42.07264	0.0	-42.07264	-42.07264	1000.0	131.99966	42.603737	365.46957	68.94694	75.87193	-0.52340674	3.398035	23.945545	-11.946644	-136.02046	0.5207603	0.034067478	0.57653624	0.45602646	-2.3397906	1.1226836	0.816276	7.07475	2.2834865e-06	-33.95103	16.262566	17.173294	-53.684853	-27.397984	18.508682	26.066954	-58.67085	122.79926	19.675776	153.69058	73.764786	150.19727	34.219498	202.61417	50.153934	150.19727	34.219498	202.61417	50.153934	5.5237427	2.3813574	15.283044	2.0359135	23730.191	9018.979	41052.5	2515.417	812.23486	317.98538	2335.714	102.10907
8	8999	37.98095726966858	-387.94095	0.0	-387.94095	-387.94095	1000.0	-21.77482	0.0	-21.77482	-21.77482	1000.0	57.257133	17.968271	148.87186	13.127805	11.35652	-2.3036733	2.3654501	14.873834	-10.214522	-59.195282	0.386182	0.03827764	0.4558716	0.32414028	-5.093306	0.97053224	0.73346525	6.7223587	1.5437603e-05	-40.276257	19.052065	-6.4294033	-89.445984	12.375416	21.13465	49.65592	-41.149727	37.700027	2.7887878	46.40556	26.627232	25.324612	21.711926	81.45789	-11.112451	26.149347	20.711235	81.45789	0.02360291	1.8173894	1.6707256	5.133433	-0.23774177	1112.7437	1407.8007	6635.3887	0.00055709743	75.927444	80.943474	270.98462	1.531446e-05
9	9999	44.87891888618469	-395.62244	0.0	-395.62244	-395.62244	1000.0	-561.13324	0.0	-561.13324	-561.13324	1000.0	25.609797	11.537908	45.345203	-11.763815	5.627882	-2.6682692	1.9980967	16.474232	-11.08205	-27.016716	0.27638558	0.025858669	0.3240308	0.23472925	-7.312207	0.9072638	0.6883617	6.8456764	4.4703484e-06	-29.461275	18.672117	12.898655	-64.46756	21.19251	19.829424	65.15642	-17.36005	26.731678	6.5374227	35.808216	-0.8528335	5.5391674	22.676716	48.9216	-36.86478	20.128315	11.822298	48.9216	0.031700637	0.88247496	1.4783872	4.198248	-1.0410622	544.91583	572.15137	2393.323	0.0010049304	36.282837	50.21387	176.25287	3.2497705e-05
