Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	1.2200415134429932	15.587367	8.757284	48.87863	3.5976942	20.5625	48.557484	0.0	48.557484	48.557484	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.773905	19.250563	65.01624	-6.766389	24.20984	19.46746	72.321144	-3.973064	-0.43840617	0.43841448	0.3834899	-3.222239	-24.648247	19.537718	4.1233373	-72.45313	24.80075	19.343767	72.45313	0.013864603	-0.80786794	0.36238262	0.4123337	-1.1340134	989.25854	1203.3335	5249.456	0.00019222722	24.624954	20.094507	72.58536	1.9222722e-05
1	1999	2.1171422004699707	15.477735	8.689578	48.87863	4.478486	20.408163	48.557484	0.0	48.557484	48.557484	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.312174	21.787971	93.39062	-5.299365	20.239395	23.460007	108.55165	-8.735365	-0.42130384	0.38108274	0.26709217	-1.917166	-20.6607	23.463356	8.535264	-108.83106	21.158482	23.015476	108.83106	0.012502691	-0.72037774	0.43745095	0.8535264	-1.1402237	977.39355	2109.6846	11844.2	0.00015631728	20.706936	23.673294	109.1112	1.5631727e-05
2	2999	3.0048787593841553	18.641542	14.26862	60.030724	4.729979	23.232557	49.90343	0.0	49.90343	49.90343	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.875923	17.702383	69.4875	-2.684994	21.824299	18.498632	72.166626	-6.153551	-0.48034054	0.4091466	0.2832928	-2.5003338	-22.304638	18.520906	5.8029175	-72.443146	22.446625	18.348568	72.443146	0.041507743	-0.8026657	0.35907057	0.58029175	-1.1253703	840.5209	1110.117	5248.01	0.0017228929	22.210268	19.113895	72.72073	0.00017228928
3	3999	3.8617355823516846	20.375536	13.2864065	64.27257	7.4911222	23.27907	50.20493	0.0	50.20493	50.20493	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.429468	17.426216	63.109386	-4.619316	21.973713	18.329596	72.64924	-5.959382	-0.47194043	0.4241403	0.3343991	-2.420737	-22.445652	18.342812	5.958146	-72.68573	22.747438	17.967194	72.68573	0.0016010127	-0.7774433	0.39934182	0.5958146	-1.1116818	840.26605	1028.0079	5283.215	2.5632417e-06	22.514105	18.743559	72.72223	2.5632417e-07
4	4999	4.710943937301636	17.703888	12.652955	61.98794	4.50356	21.041666	46.682068	0.0	46.682068	46.682068	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.97125	20.639957	79.26287	-6.500102	24.584242	21.521923	85.65011	-9.672997	-0.43955827	0.4179249	0.43356073	-1.851044	-25.023798	21.531137	9.816071	-85.91002	25.583117	20.863474	85.91002	0.03527138	-0.76280695	0.43579528	0.9816071	-1.100054	1089.7805	1421.5992	7380.5317	0.0012440702	25.302485	21.627285	86.17072	0.00012440702
5	5999	10.601743221282959	31.687681	41.718006	225.49924	7.312411	33.535713	82.13921	0.0	82.13921	82.13921	55.0	5.2165647	2.9256027	18.061905	-2.734161	1.1907419	-1.9358225	0.55592555	7.3389635	-6.8257246	-7.087547	0.8620811	0.07456927	0.99970007	0.7417777	-0.44080633	0.7424918	0.5658707	7.3626857	7.595867e-06	47.168304	33.897007	100.86011	-4.471031	59.217293	41.82136	131.5867	-1.2368134	11.743109	2.5313556	19.702625	3.2931266	-47.47418	41.762356	16.246204	-121.207054	49.61894	39.189964	121.207054	0.029178862	-0.4981063	0.5641788	1.6246203	-0.93375653	3997.892	4515.5825	14691.15	0.000851406	42.16322	36.419205	112.61675	6.190904e-05
6	6999	16.253196954727173	73.191	38.643597	189.86833	23.336021	62.47059	54.513992	0.0	54.513992	54.513992	33.0	13.475421	4.5954537	35.281776	-3.8212821	2.686619	-1.441174	1.1332083	4.4079566	-7.7120285	-15.258151	0.6499955	0.050065797	0.7415684	0.567352	-1.0486946	0.80708104	0.589848	4.6046004	2.0861626e-06	40.41355	21.05169	98.83576	1.9478594	47.445454	25.295115	118.026924	1.9478594	25.566021	3.403748	34.533676	19.05802	-21.879435	27.691874	31.050934	-96.93307	28.882542	20.281721	96.93307	0.068119	-0.10209354	0.8858864	3.1050932	-0.8250105	1245.5494	1632.293	9396.02	0.004640198	22.060389	19.656532	96.416046	0.00016837612
7	7999	21.847869396209717	71.654274	23.844639	147.9418	40.687347	41.041668	45.758034	0.0	45.758034	45.758034	27.0	21.563395	6.9777126	46.810787	-6.1506305	6.7185917	-0.9749259	1.4920359	6.887142	-10.15783	-23.411327	0.50096625	0.036015615	0.56720656	0.44188014	-1.3590187	0.8631763	0.61388016	4.069355	4.887581e-06	38.274963	19.476387	83.249916	1.848939	43.547283	22.600204	96.692444	1.848939	34.877354	3.8762672	45.823196	26.84939	-8.669933	24.114113	36.990887	-67.030945	21.446869	14.024616	67.030945	0.025472702	0.24171755	1.0592762	3.6990888	-0.69323874	656.65814	766.82416	4493.1475	0.00064885855	19.341663	25.855814	136.83258	1.8651002e-05
8	8999	27.497500896453857	85.59822	38.897038	187.81635	43.127834	46.38095	176.38148	0.0	176.38148	176.38148	83.0	29.030933	8.777511	58.200577	-8.969065	11.78729	-0.42625037	1.7523726	8.21436	-8.130477	-31.001114	0.39543727	0.024768233	0.44177085	0.35484168	-1.314835	0.94131774	0.64153504	4.446616	1.6126782e-05	73.30514	32.67448	120.35274	1.9638646	76.90777	34.304203	127.18151	1.9638646	32.977207	10.1705475	58.99342	2.8466415	-43.930565	27.601297	26.680746	-92.59471	45.517143	24.89811	92.59471	0.08111334	-0.43970644	0.44727498	2.6680746	-0.7815788	2691.726	2163.001	8573.78	0.006579374	28.414652	17.54718	71.186226	0.0003963152
9	9999	32.98172569274902	178.46172	9.400436	191.68195	155.30353	84.583336	176.49019	0.0	176.49019	176.49019	84.0	35.15467	10.0909195	65.59877	-15.157426	15.270744	0.1277652	1.9266787	9.104874	-9.160967	-37.26518	0.32365522	0.016209636	0.354773	0.2979305	-0.9757789	1.0231555	0.674824	4.393294	1.3113022e-06	77.93328	32.31726	118.74352	2.608098	78.03292	32.888153	120.92761	2.608098	33.295174	14.249546	63.676178	3.8123617	-44.73775	20.764736	5.732983	-77.46245	44.926514	20.353107	77.46245	0.029735666	-0.5259191	0.19532253	0.57329834	-0.86421096	2432.6404	1537.9431	6000.4307	0.0008842099	26.398508	13.120507	50.283726	8.02887e-05
