Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	1.1097815036773682	15.587367	8.757284	48.87863	3.5976942	20.5625	48.557487	0.0	48.557487	48.557487	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.773909	19.250563	65.01624	-6.766325	24.209846	19.46746	72.321205	-3.9730637	-0.43840614	0.4384145	0.3834899	-3.222239	-24.648252	19.53772	4.123337	-72.45319	24.800756	19.34377	72.45319	0.013865922	-0.8078681	0.36238235	0.4123337	-1.1340134	989.2589	1203.3341	5249.4653	0.00019226379	24.624958	20.09451	72.58542	1.9226378e-05
1	1999	2.2093570232391357	15.477735	8.689578	48.87863	4.478486	20.408163	48.557487	0.0	48.557487	48.557487	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.31221	21.788048	93.390884	-5.299366	20.239426	23.46007	108.55189	-8.735367	-0.42130402	0.38108295	0.2670922	-1.9171662	-20.660728	23.463417	8.535267	-108.83131	21.15851	23.015541	108.83131	0.012502726	-0.72037774	0.43745098	0.85352665	-1.1402237	977.3978	2109.6973	11844.253	0.00015631816	20.706966	23.673357	109.111435	1.5631816e-05
2	2999	3.318922281265259	18.641542	14.26862	60.030724	4.729979	23.232557	49.90343	0.0	49.90343	49.90343	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.875923	17.702387	69.48751	-2.6849937	21.824299	18.498632	72.166626	-6.1535506	-0.48034054	0.40914667	0.28329277	-2.5003338	-22.304638	18.520908	5.8029175	-72.443146	22.446625	18.34857	72.443146	0.04150763	-0.8026657	0.3590706	0.58029175	-1.1253703	840.52094	1110.117	5248.01	0.0017228833	22.210268	19.113895	72.72073	0.00017228833
3	3999	4.368603467941284	20.375536	13.2864065	64.27257	7.4911222	23.27907	50.20493	0.0	50.20493	50.20493	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.429466	17.426214	63.10936	-4.619328	21.973707	18.329592	72.64919	-5.959383	-0.47194046	0.42414033	0.3343994	-2.4207368	-22.445646	18.342808	5.9581475	-72.68568	22.747437	17.967188	72.68568	0.0016023377	-0.77744323	0.39934194	0.59581476	-1.1116815	840.2657	1028.0072	5283.2075	2.567486e-06	22.514101	18.743555	72.722176	2.567486e-07
4	4999	5.4170753955841064	17.703888	12.652955	61.98794	4.50356	21.041666	46.682068	0.0	46.682068	46.682068	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.971256	20.639957	79.26286	-6.5001016	24.584202	21.521906	85.64999	-9.6729965	-0.43955863	0.4179254	0.43355954	-1.8510797	-25.02376	21.53112	9.816071	-85.9099	25.583076	20.863457	85.9099	0.03527031	-0.76280653	0.43579563	0.981607	-1.1000541	1089.7777	1421.5966	7380.5103	0.0012439947	25.302444	21.627268	86.1706	0.00012439948
5	5999	12.064268589019775	22.301554	18.502554	82.62915	-0.12504822	17.535715	36.88937	0.0	36.88937	36.88937	21.0	166.42468	216.99701	1423.4735	-2.7341607	3219.0632	1.3485129	3.7450764	15.434067	-9.641209	-187.4976	0.92444927	0.045681197	1.0248474	0.86181945	-0.0014922944	1.3130559	0.87003374	7.3627057	4.5597553e-06	21.525082	10.481607	36.887268	1.9972024	9.136114	3.6641128	15.499849	1.9972024	838.1768	146.3974	1087.1936	586.88257	829.0408	143.36586	1072.5343	580.2615	829.0408	143.36586	1072.5343	580.2615	74.794785	10.199576	106.32402	57.501915	707862.4	231414.23	1150329.8	336703.38	63075.42	17497.494	113047.97	33670.336
6	6999	18.679125547409058	18.829836	21.067131	52.93439	-1.5817498	21.276596	41.778606	0.0	41.778606	41.778606	24.0	2828.762	1508.6035	9839.364	247.58784	330972.06	8.412704	2.4106765	21.8107	-8.728768	-3105.523	1.279891	0.1488309	1.5378265	1.0253134	-1.8290979	2.4591262	0.8702135	8.803088	3.838539e-05	22.148037	10.745563	37.51641	1.9838206	4.708374	2.2456439	13.019238	-0.4015669	5414.742	1025.0121	7221.782	4018.454	5410.034	1024.5469	7215.27	4016.2861	5410.034	1024.5469	7215.27	4016.2861	539.9162	102.28954	721.52704	388.59055	30318168.0	11401081.0	52060124.0	16130553.0	3025154.5	1136770.2	5206012.5	1613055.4
7	7999	25.29833197593689	11.849279	33.20998	162.91626	-1.4719095	28.62857	7.100276	0.0	7.100276	7.100276	36.0	5837.421	1736.76	15466.911	164.16617	1090367.4	8.254938	2.4667046	18.031298	-6.320369	-6278.573	1.8118284	0.15980105	2.0950012	1.5383446	-4.2450294	2.4319615	0.998091	7.243625	0.00016540289	-0.8830136	3.452212	10.822817	-5.5129423	-14.233389	5.6699147	-0.121311955	-23.486673	7137.086	997.1194	9824.508	4006.775	7151.3193	998.2513	9843.706	4021.2854	7151.3193	998.2513	9843.706	4021.2854	494.9092	134.27219	870.2399	262.41092	52137876.0	14427846.0	96898560.0	16170736.0	3568644.5	1143519.0	7573175.5	1114417.6
8	8999	31.938774585723877	66.893936	65.98093	216.07121	6.9204965	88.63636	64.18576	0.0	64.18576	64.18576	84.0	5078.839	1972.0825	15232.677	-712.2434	792791.56	6.293781	2.7294595	20.810144	-6.776343	-5424.213	2.3691406	0.1704547	2.6779451	2.095368	-4.545862	2.0318565	1.153489	13.227045	3.3527613e-07	26.774923	12.876078	49.08612	0.6899624	2.292479	1.8416948	7.856124	-3.284275	5275.082	608.5609	7833.0454	4416.217	5272.7896	608.56537	7830.054	4413.337	5272.7896	608.56537	7830.054	4413.337	527.27893	60.856537	783.00543	441.3337	28172662.0	7288894.0	61309750.0	19477544.0	2817266.0	728889.4	6130975.0	1947754.4
9	9999	38.55827355384827	42.231686	10.374704	72.87859	28.22202	71.64286	39.94308	0.0	39.94308	39.94308	69.0	3507.1826	1588.5714	12343.627	-1664.639	371427.53	5.7909684	2.6757076	17.521812	-9.60111	-3734.0498	3.0587344	0.22671218	3.4578252	2.6786296	-5.317167	1.9166784	0.96141076	6.351858	5.0723553e-05	14.005005	6.790767	32.118168	0.5411519	0.16039006	3.6341722	8.7950735	-10.153253	3302.6636	411.7882	4831.9897	2761.3577	3302.5032	412.83743	4832.886	2756.4392	3302.5032	412.83743	4832.886	2756.4392	330.23978	41.275078	483.2886	275.64392	11076961.0	3042584.2	23356788.0	7597956.5	1107657.6	304228.4	2335678.8	759795.7
