Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	1.1439635753631592	15.587367	8.757284	48.87863	3.5976942	20.5625	48.557487	0.0	48.557487	48.557487	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.468506	24.043139	94.963066	-7.7886786	28.03837	24.185522	100.013954	-4.2020555	-0.43840614	0.4384145	0.3834899	-3.222239	-28.476776	24.243114	4.352329	-100.30305	28.643475	24.045929	100.30305	0.0051558292	-0.8105063	0.36296368	0.43523288	-1.1316158	1398.6555	1906.1957	10060.701	2.6582575e-05	28.483038	24.735296	100.59297	2.6582575e-06
1	1999	2.354290723800659	15.477735	8.689578	48.87863	4.478486	20.408163	48.557487	0.0	48.557487	48.557487	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.733948	29.090725	146.76176	-5.7003956	23.889837	31.33034	166.53247	-9.270233	-0.42130402	0.38108295	0.2670922	-1.9171662	-24.311138	31.324125	9.070132	-166.81189	24.86511	30.886219	166.81189	0.010460252	-0.7217704	0.44540897	0.9070132	-1.1373894	1572.2324	4118.732	27826.205	0.00010941687	24.440939	31.454636	167.09177	1.0941687e-05
2	2999	3.4588372707366943	18.641542	14.26862	60.030724	4.729979	23.232557	49.90343	0.0	49.90343	49.90343	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.650852	21.48688	96.0567	-2.7806005	24.617962	22.234127	97.06429	-6.261271	-0.48034054	0.40914667	0.28329277	-2.5003338	-25.098299	22.248499	5.968654	-97.34082	25.251286	22.074715	97.34082	0.012246169	-0.8038093	0.3602565	0.5968654	-1.1184274	1124.9203	1654.5568	9475.234	0.00014996865	25.028475	22.786587	97.618126	1.4996865e-05
3	3999	4.543262243270874	20.375536	13.2864065	64.27257	7.4911222	23.27907	50.20493	0.0	50.20493	50.20493	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.473618	21.351921	85.99504	-4.8611293	24.860931	22.062485	94.77355	-6.3252807	-0.47194046	0.42414033	0.3343994	-2.4207368	-25.332872	22.064756	6.3240447	-94.810036	25.660519	21.682846	94.810036	0.0025681462	-0.77673763	0.40312243	0.63240445	-1.121175	1128.6079	1549.1498	8988.943	6.5953755e-06	25.436052	22.40528	94.846535	6.5953753e-07
4	4999	5.635900020599365	17.703888	12.652955	61.98794	4.50356	21.041666	46.682068	0.0	46.682068	46.682068	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.13912	29.905579	139.30641	-6.789068	30.194101	29.4911	139.56104	-10.13045	-0.43955863	0.4179254	0.43355954	-1.8510797	-30.633661	29.48806	10.273524	-139.82095	31.250032	28.83405	139.82095	0.021236114	-0.76119345	0.4440066	1.0141231	-1.1064695	1807.9668	2958.8975	19549.896	0.00045097255	30.98592	29.504148	140.08134	4.5097255e-05
5	5999	12.506040334701538	28.6321	26.13639	93.46727	2.4513793	30.30303	66.63489	0.0	66.63489	66.63489	41.0	5.300509	2.971496	18.616413	-2.7341607	1.2538787	-1.9317988	0.56320816	7.338961	-6.830115	-7.1749744	0.8621096	0.07453385	0.99970007	0.74200255	-0.43964198	0.7431709	0.566336	7.3627214	1.8542632e-05	42.23836	32.438087	120.081924	-3.9461205	53.827003	40.157093	164.16017	-1.7445879	12.504627	2.4834397	18.27502	2.141524	-41.322376	40.26133	14.991406	-153.50816	43.69787	37.669743	153.50816	0.110653244	-0.4563392	0.5785418	1.4991406	-0.93511206	3328.5134	4505.4375	23564.754	0.012244141	36.34215	34.82101	143.54733	0.0012244141
6	6999	19.336904764175415	64.562706	22.539495	114.90745	14.147767	45.363636	44.37861	0.0	44.37861	44.37861	26.0	14.150647	4.8999968	36.492016	-4.598897	3.3246877	-1.3206072	1.2403154	5.3435297	-7.5799217	-16.02628	0.65230703	0.048544385	0.74179566	0.57291263	-0.9837781	0.8256784	0.5971482	4.477829	2.0861626e-06	39.182037	24.106424	118.20765	1.9347856	44.86424	28.268028	138.43698	1.9347856	27.002504	3.2700644	37.514526	20.92069	-17.861736	29.544966	27.202856	-115.948944	26.270683	22.400845	115.948944	0.0387533	0.025177836	0.8959366	2.7202857	-0.8416754	1191.9465	1991.7412	13444.158	0.0015018183	20.356432	20.522682	97.11392	4.468311e-05
7	7999	26.209734439849854	104.6981	50.82132	179.14827	40.344994	54.52941	172.68303	0.0	172.68303	172.68303	86.0	23.405624	7.0881643	48.29391	-7.0209117	8.689049	-0.6438271	1.6711673	7.0056505	-10.231356	-25.512915	0.51136094	0.03319782	0.5727751	0.45860627	-1.0911744	0.91820973	0.631091	4.287656	2.0861626e-05	94.00021	47.60004	174.08311	2.433226	99.91078	51.34626	186.21303	2.433226	31.33448	7.277954	50.1353	12.531467	-68.57631	45.101307	16.053629	-152.87961	69.8139	43.160828	152.87961	0.01622482	-0.53501964	0.42036396	1.6053629	-0.8238614	6736.837	6392.2695	23372.176	0.0002632448	49.998158	34.901222	125.5131	1.25853285e-05
8	8999	33.08834910392761	163.71884	14.234658	180.50293	117.80759	82.53846	116.08287	0.0	116.08287	116.08287	66.0	32.41975	8.891752	56.910027	-6.75216	12.931911	0.05961187	1.9187995	8.556328	-8.820988	-34.810055	0.4206322	0.020335892	0.4585191	0.38662213	-0.80864197	1.0263203	0.6622698	4.9881153	9.149313e-06	69.48203	40.523235	163.084	1.6793948	69.85269	41.336235	168.16351	1.6793948	36.57872	10.802183	57.4185	7.9517555	-33.273975	33.224957	26.838903	-124.93924	36.976284	29.048399	124.93924	0.0045639197	-0.2341519	0.5867385	2.6838903	-0.74793	2211.055	3026.972	15609.8125	2.0829364e-05	21.935171	20.191296	92.8252	6.313756e-07
9	9999	39.997421979904175	162.72426	19.262989	180.3667	113.64675	80.75	168.46237	0.0	168.46237	168.46237	85.0	40.760654	10.875806	66.343636	-16.269987	17.569021	0.42682317	2.054624	9.089319	-8.982203	-43.276585	0.3584254	0.015023559	0.38656312	0.33399025	-0.58408093	1.0778364	0.68812114	4.3940744	2.7418137e-06	90.25586	46.205223	171.12349	2.5281515	88.8568	46.598312	173.28453	2.5281515	41.09487	13.29131	66.414246	14.120756	-47.76192	34.409893	31.43632	-118.56363	49.646233	31.630571	118.56363	0.029727072	-0.37857893	0.46096116	3.143632	-0.6842136	3465.2417	3475.3005	14057.335	0.0008836988	29.057604	20.943232	98.82422	3.8660884e-05
